theta_E center_x center_y e1 e2 gamma a1_a a3_a a4_a delta_phi_m1 delta_phi_m3 delta_phi_m4 gamma1 gamma2
1.36258 -0.02911 -0.01358 -0.03749 0.12671 2.21483 -0.0059 -0.00105 -0.00481 0.6303 -0.40079 -0.01091 0.03295 -0.08249
1.43663 0.02823 0.02752 -0.11531 0.33523 1.9373 -0.00205 0.002 -0.00398 -1.54557 -0.47477 0.37339 -0.01355 0.04796
1.43608 0.01238 0.02636 -0.11496 0.29642 1.90394 0.00261 0.00148 0.01506 1.19744 -0.35064 -0.07525 -0.01596 0.03981
1.36879 -0.03475 -0.03036 0.01949 0.05842 1.95651 -0.0033 -0.00691 -0.00407 -2.81886 -0.38018 -0.00697 0.04705 -0.05646
1.37486 -0.02787 -0.01437 -0.03222 0.16078 2.15019 -0.00218 0.00568 -0.00228 0.07509 -0.03006 -0.21795 0.03253 -0.0557
1.41744 0.00298 0.0118 -0.13202 0.34788 2.19848 -0.00202 0.01107 0.01127 -0.75205 -0.37127 -0.23752 0.00333 -0.01909
1.41145 0.00793 0.021 -0.08576 0.27225 1.99072 0.00145 0.00559 0.00018 -2.55675 0.18582 0.09172 0.00792 0.01018
1.3679 -0.02133 -0.01313 -0.0379 0.16561 2.17036 -0.00618 -0.00731 -0.01564 -0.40347 -0.04236 -0.27964 0.03139 -0.05962
1.38677 -0.00763 -0.0069 -0.06906 0.21734 2.05204 0.00456 0.00457 0.00595 2.52683 0.18408 -0.01335 0.01703 -0.02507
1.38732 -0.00489 0.00105 -0.06445 0.21036 2.03594 0.00205 -0.00023 -0.00343 2.23103 -0.50018 -0.36496 0.01341 -0.02313
1.37912 -0.03519 -0.01784 -0.03796 0.13474 2.05736 -0.00325 0.00203 -0.0037 2.72523 0.15084 0.28285 0.02351 -0.04756
1.42414 0.01835 0.02427 -0.09688 0.29215 1.93669 0.00185 0.00205 0.00656 -0.71639 0.18374 0.35799 -0.00503 0.03219
1.36259 -0.03241 -0.00928 -0.05924 0.13667 2.0717 -0.00071 -0.0037 6e-05 2.95915 0.23974 0.08917 0.0131 -0.04954
1.41809 0.00519 0.00833 -0.10315 0.31128 2.09076 -0.00421 -0.0018 0.01142 0.02741 0.10569 0.23025 0.00314 0.00884
1.37247 -0.03762 -0.02184 -0.0248 0.09968 2.177 0.003 -0.00319 -0.00606 -0.98457 0.03115 0.21156 0.0354 -0.0813
1.39757 -0.01006 0.00025 -0.0798 0.2077 2.05819 -0.00134 -0.00832 -0.00332 -1.11597 0.08211 0.21369 0.00628 -0.02918
1.41779 0.01442 0.01555 -0.11029 0.35974 2.21273 -0.00985 0.0005 -0.00811 -0.66235 -0.15271 0.16678 0.01874 -0.022
1.3663 -0.02234 0.00044 -0.03382 0.13633 2.0452 0.00286 0.00697 0.00593 -3.12584 -0.11625 -0.35563 0.0237 -0.0489
1.41172 0.00608 0.01712 -0.09672 0.28123 2.02971 0.00111 0.00955 0.0035 2.32902 -0.22724 0.33839 -0.00067 0.00416
1.3787 -0.01859 -0.01172 -0.05939 0.245 2.18609 -0.00293 0.00725 0.01098 2.82977 0.47098 -0.12396 0.02734 -0.03907
1.38332 -0.00914 -0.00232 -0.04418 0.18849 2.11172 -0.00979 0.00337 -0.00361 0.36118 0.44909 0.36765 0.02842 -0.04374
1.37828 -0.02112 -0.00595 -0.04754 0.16961 2.06304 0.00449 -0.00023 -0.00176 -2.4521 -0.3492 0.08076 0.02262 -0.04145
1.37459 -0.03231 -0.01391 -0.04377 0.13701 2.22158 0.00662 0.00456 -0.00144 0.14981 -0.09771 -0.09784 0.02871 -0.07875
1.36626 -0.01252 -0.00999 -0.09066 0.2423 2.25371 0.00115 -0.00191 -0.009 -2.54737 -0.46769 0.28901 0.01504 -0.06584
1.36482 -0.04891 -0.02808 -0.02227 0.07649 2.19674 0.00184 0.00045 0.00017 -2.65586 -0.33781 0.0359 0.0323 -0.08409
1.37959 -0.03617 -0.0174 -0.04383 0.10469 1.89387 0.00105 0.00311 0.00467 2.60176 -0.25111 -0.35897 0.0074 -0.0349
1.37869 -0.00942 0.00033 -0.0927 0.25938 2.18947 0.00417 -0.00075 0.0104 2.59573 -0.15969 0.03591 0.015 -0.03286
1.37818 -0.02799 -0.00255 -0.03945 0.17194 2.08114 -0.0021 -0.00141 0.00548 -0.49915 0.15829 0.34103 0.02434 -0.03926
1.44787 0.02227 0.0266 -0.12763 0.37323 2.05236 0.0085 0.00086 0.00025 0.70963 -0.28197 -0.33845 -0.00576 0.03208
1.38308 -0.01688 -0.01055 -0.06857 0.20942 2.14343 -0.00213 0.001 -0.00204 -0.42373 -0.41399 0.07628 0.01837 -0.04049
1.36226 -0.05621 -0.04372 -0.01464 0.05243 2.15045 0.00033 0.00279 0.00654 0.74986 0.06955 0.10105 0.0311 -0.08386
1.36832 -0.03582 -0.01843 -0.01414 0.08694 1.86497 -0.00318 -0.00302 -0.00488 0.01243 0.24407 -0.32693 0.02413 -0.03856
1.39118 -0.01537 0.00846 -0.06597 0.20955 2.04831 0.00127 0.00536 -0.00043 -0.17111 -0.32346 0.21715 0.01229 -0.02595
1.41349 0.00841 0.01355 -0.10979 0.33242 2.14227 0.00177 0.00127 -0.01353 -1.23413 -0.3578 0.1439 0.00717 -0.01383
1.36619 -0.03376 -0.02246 -0.03712 0.08753 2.25381 -0.00015 0.00283 0.01076 -1.00571 -0.31584 -0.28114 0.03177 -0.09849
1.37028 -0.0394 -0.02792 0.00589 0.08688 2.02744 -0.00335 -0.0 -0.0142 -0.86187 0.37897 -0.31009 0.04245 -0.05594
1.45812 0.03456 0.03298 -0.1383 0.40329 1.97612 0.00029 -0.00649 -0.00346 -1.01748 0.38743 -0.37688 -0.01589 0.06627
